Num,Dossier,Fichier,Date_validation,Validation,Id,Id_avant validation,Contact,Groupe,IGp,Espece,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Lieu,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,Site,Opérateur,Machine,Action,Projet,Habitat1,Habitat2
123,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221522_155.wav,,,PippiT,PippiT,Principal,Pip50,9,PippiT,9,2014,7,11,22,15,11/07/2014,22:15,11/07/2014,LIFEA,13,44,65,4,2,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
124,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221536_454.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,15,11/07/2014,22:15,11/07/2014,LIFEA,41,47,71,4,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
125,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221547_337.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,7,2014,7,11,22,15,11/07/2014,22:15,11/07/2014,LIFEA,5,52,0,2,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
126,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221616_578.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,16,11/07/2014,22:16,11/07/2014,LIFEA,48,50,64,4,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
127,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221632_730.wav,,,PippiT,PippiT,Principal,Pip50,9,PippiT,9,2014,7,11,22,16,11/07/2014,22:16,11/07/2014,LIFEA,64,48,64,4,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
128,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221704_272.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,17,11/07/2014,22:17,11/07/2014,LIFEA,26,47,75,3,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
129,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221709_766.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,9,2014,7,11,22,17,11/07/2014,22:17,11/07/2014,LIFEA,29,50,49,3,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
130,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221726_847.wav,,,PippiT,PippiT,Principal,Pip50,9,PippiT,9,2014,7,11,22,17,11/07/2014,22:17,11/07/2014,LIFEA,34,44,83,4,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
131,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221802_716.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,18,11/07/2014,22:18,11/07/2014,LIFEA,10,45,79,5,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
132,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221816_133.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,18,11/07/2014,22:18,11/07/2014,LIFEA,8,47,71,3,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
133,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221826_080.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,18,11/07/2014,22:18,11/07/2014,LIFEA,9,44,83,4,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
134,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221849_078.wav,,,PippiT,PippiT,Principal,Pip50,8,PippiT,8,2014,7,11,22,18,11/07/2014,22:18,11/07/2014,LIFEA,23,48,75,3,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
135,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221855_993.wav,,,PippiT,PippiT,Principal,Pip50,6,PippiT,6,2014,7,11,22,18,11/07/2014,22:18,11/07/2014,LIFEA,25,44,78,5,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
136,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221909_457.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,19,11/07/2014,22:19,11/07/2014,LIFEA,10,47,72,4,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
137,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221918_120.wav,,,ChiroSp,ChiroSp,Principal,Pip50,5,PippiT,5,2014,7,11,22,19,11/07/2014,22:19,11/07/2014,LIFEA,24,44,77,5,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
138,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221929_310.wav,,,ChiroSp,ChiroSp,Principal,Pip50,5,PippiT,5,2014,7,11,22,19,11/07/2014,22:19,11/07/2014,LIFEA,18,46,0,2,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
139,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_222014_369.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,20,11/07/2014,22:20,11/07/2014,LIFEA,55,47,62,3,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
140,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_222019_370.wav,,,PippiT,PippiT,Principal,Pip50,7,PippiT,7,2014,7,11,22,20,11/07/2014,22:20,11/07/2014,LIFEA,10,46,82,4,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
141,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_222032_302.wav,,,PippiT,PippiT,Principal,Pip50,9,PippiT,9,2014,7,11,22,20,11/07/2014,22:20,11/07/2014,LIFEA,29,47,69,4,2,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
142,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_222133_200.wav,,,PippiT,PippiT,Principal,Pip50,9,PippiT,9,2014,7,11,22,21,11/07/2014,22:21,11/07/2014,LIFEA,18,49,49,2,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
143,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_222909_068.wav,,,PippiT,PippiT,Principal,Pip50,8,PippiT,8,2014,7,11,22,29,11/07/2014,22:29,11/07/2014,LIFEA,18,44,0,5,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
144,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_222915_951.wav,,,ChiroSp,ChiroSp,Principal,Pip50,3,PippiT,3,2014,7,11,22,29,11/07/2014,22:29,11/07/2014,LIFEA,9,48,4,2,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
145,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_222940_451.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,29,11/07/2014,22:29,11/07/2014,LIFEA,8,47,0,3,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
146,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_223114_991.wav,31/08/2015,T. Kinet,ChiroSp,ChiroSp,Principal,Pip35,4,Pipnat,4,2014,7,11,22,31,11/07/2014,22:31,11/07/2014,LIFEA,3,41,0,4,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
147,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_223125_749.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,31,11/07/2014,22:31,11/07/2014,LIFEA,17,47,76,3,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
148,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_223133_406.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,31,11/07/2014,22:31,11/07/2014,LIFEA,15,46,90,5,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
149,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_223155_090.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,31,11/07/2014,22:31,11/07/2014,LIFEA,44,46,82,5,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
150,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_223216_584.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,32,11/07/2014,22:32,11/07/2014,LIFEA,39,47,65,7,2,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
151,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_223220_514.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,32,11/07/2014,22:32,11/07/2014,LIFEA,25,47,39,6,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
152,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_223227_431.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,32,11/07/2014,22:32,11/07/2014,LIFEA,44,47,71,5,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
153,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_223358_290.wav,31/08/2015,T. Kinet,ChiroSp,ChiroSp,Principal,Pip35,3,Pipnat,2,2014,7,11,22,33,11/07/2014,22:33,11/07/2014,LIFEA,16,43,77,6,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
154,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_223857_153.wav,,,ChiroSp,ChiroSp,Principal,Plesp,0,Pleaur,0,2014,7,11,22,38,11/07/2014,22:38,11/07/2014,LIFEA,22,27,0,5,4,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
155,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_224002_078.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,40,11/07/2014,22:40,11/07/2014,LIFEA,46,48,84,6,2,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
156,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_224011_106.wav,,,Myosp,Myosp,Principal,Myosp,8,Myodau,3,2014,7,11,22,40,11/07/2014,22:40,11/07/2014,LIFEA,23,45,51,3,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
157,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_224155_254.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,41,11/07/2014,22:41,11/07/2014,LIFEA,19,47,97,8,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
158,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_225558_049.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,55,11/07/2014,22:55,11/07/2014,LIFEA,17,47,80,7,2,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
159,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_225609_417.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,56,11/07/2014,22:56,11/07/2014,LIFEA,10,48,53,3,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
160,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_230154_414.wav,,,ChiroSp,ChiroSp,Principal,Pip50,3,PippiT,3,2014,7,11,23,1,11/07/2014,23:01,11/07/2014,LIFEA,17,43,66,5,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
161,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_230157_292.wav,,,ChiroSp,ChiroSp,Principal,Pip50,5,PippiT,5,2014,7,11,23,1,11/07/2014,23:01,11/07/2014,LIFEA,9,44,0,5,4,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
162,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_230257_395.wav,,,ChiroSp,ChiroSp,Principal,Pip35,2,Pipnat,2,2014,7,11,23,2,11/07/2014,23:02,11/07/2014,LIFEA,7,42,0,6,6,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
163,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_230351_364.wav,,,ChiroSp,ChiroSp,Principal,Pip50,4,PippiT,4,2014,7,11,23,3,11/07/2014,23:03,11/07/2014,LIFEA,11,44,0,2,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
164,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_230559_863.wav,,,ChiroSp,ChiroSp,Principal,Pip35,2,Pipnat,2,2014,7,11,23,5,11/07/2014,23:05,11/07/2014,LIFEA,9,42,3,7,4,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
165,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_230618_371.wav,,,ChiroSp,ChiroSp,Principal,Pip50,3,PippiT,3,2014,7,11,23,6,11/07/2014,23:06,11/07/2014,LIFEA,8,43,0,6,4,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
166,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_230708_901.wav,,,ChiroSp,ChiroSp,Principal,Pip50,5,PippiT,5,2014,7,11,23,7,11/07/2014,23:07,11/07/2014,LIFEA,16,43,0,6,2,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
167,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_230735_034.wav,,,ChiroSp,ChiroSp,Principal,Pip50,0,PippiT,0,2014,7,11,23,7,11/07/2014,23:07,11/07/2014,LIFEA,11,43,85,6,3,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
168,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_230944_732.wav,,,PippiT,PippiT,Principal,Pip50,7,PippiT,7,2014,7,11,23,9,11/07/2014,23:09,11/07/2014,LIFEA,29,44,76,5,0,2,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
169,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_231125_211.wav,,,PippiT,PippiT,Principal,Pip50,8,PippiT,8,2014,7,11,23,11,11/07/2014,23:11,11/07/2014,LIFEA,16,44,0,5,2,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
170,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_231135_744.wav,31/08/2015,T. Kinet,Rhifer,Rhifer,Principal,Rhisp,10,Rhifer,10,2014,7,11,23,11,11/07/2014,23:11,11/07/2014,LIFEA,9,80,0,7,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
171,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_231251_186.wav,,,ChiroSp,ChiroSp,Principal,Pip50,4,PippiT,4,2014,7,11,23,12,11/07/2014,23:12,11/07/2014,LIFEA,9,44,95,6,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
