Directory,File,File2,Validation,Id,Id_avant validation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Site,Opérateur,Habitat1,Habitat2,Machine,Projet
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221619_095.wav,LIFEA_20140607_221619_095.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,16,7/06/2014,22:16,7/06/2014,LIFEA,26,48,75,5,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221625_507.wav,LIFEA_20140607_221625_507.wav,,PippiT,PippiT,Main,Pip50,8,PippiT,8,2014,6,7,22,16,7/06/2014,22:16,7/06/2014,LIFEA,83,53,36,4,1,1,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221631_954.wav,LIFEA_20140607_221631_954.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,16,7/06/2014,22:16,7/06/2014,LIFEA,29,50,68,5,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221702_857.wav,LIFEA_20140607_221702_857.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,6,2014,6,7,22,17,7/06/2014,22:17,7/06/2014,LIFEA,24,53,64,3,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221803_800.wav,LIFEA_20140607_221803_800.wav,,ChiroSp,ChiroSp,Main,Pip50,0,PippiT,0,2014,6,7,22,18,7/06/2014,22:18,7/06/2014,LIFEA,4,52,82,3,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221908_257.wav,LIFEA_20140607_221908_257.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,19,7/06/2014,22:19,7/06/2014,LIFEA,9,52,0,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221910_534.wav,LIFEA_20140607_221910_534.wav,,PippiT,PippiT,Main,Pip50,8,PippiT,8,2014,6,7,22,19,7/06/2014,22:19,7/06/2014,LIFEA,36,51,0,3,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221920_958.wav,LIFEA_20140607_221920_958.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,19,7/06/2014,22:19,7/06/2014,LIFEA,48,51,0,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221929_185.wav,LIFEA_20140607_221929_185.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,19,7/06/2014,22:19,7/06/2014,LIFEA,40,52,61,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221933_903.wav,LIFEA_20140607_221933_903.wav,,PippiT,PippiT,Main,Pip50,9,PippiT,9,2014,6,7,22,19,7/06/2014,22:19,7/06/2014,LIFEA,81,52,61,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222018_770.wav,LIFEA_20140607_222018_770.wav,,PippiT,PippiT,Main,Pip50,8,PippiT,8,2014,6,7,22,20,7/06/2014,22:20,7/06/2014,LIFEA,21,52,77,3,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222028_709.wav,LIFEA_20140607_222028_709.wav,,ChiroSp,ChiroSp,Main,Pip50,3,PippiT,3,2014,6,7,22,20,7/06/2014,22:20,7/06/2014,LIFEA,9,52,94,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222121_051.wav,LIFEA_20140607_222121_051.wav,,PippiT,PippiT,Main,Pip50,9,PippiT,9,2014,6,7,22,21,7/06/2014,22:21,7/06/2014,LIFEA,19,53,75,3,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222134_902.wav,LIFEA_20140607_222134_902.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,21,7/06/2014,22:21,7/06/2014,LIFEA,16,53,81,3,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222139_487.wav,LIFEA_20140607_222139_487.wav,,PippiT,PippiT,Main,Pip50,9,PippiT,9,2014,6,7,22,21,7/06/2014,22:21,7/06/2014,LIFEA,27,50,85,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222143_770.wav,LIFEA_20140607_222143_770.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,21,7/06/2014,22:21,7/06/2014,LIFEA,24,53,85,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222150_386.wav,LIFEA_20140607_222150_386.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,21,7/06/2014,22:21,7/06/2014,LIFEA,20,50,87,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222153_984.wav,LIFEA_20140607_222153_984.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,21,7/06/2014,22:21,7/06/2014,LIFEA,52,51,0,5,3,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222157_595.wav,LIFEA_20140607_222157_595.wav,,PippiT,PippiT,Main,Pip50,8,PippiT,8,2014,6,7,22,21,7/06/2014,22:21,7/06/2014,LIFEA,136,53,0,4,1,4,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222202_596.wav,LIFEA_20140607_222202_596.wav,,ChiroSp,ChiroSp,Main,Pip50,5,PippiT,5,2014,6,7,22,22,7/06/2014,22:22,7/06/2014,LIFEA,11,50,0,2,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222210_158.wav,LIFEA_20140607_222210_158.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,22,7/06/2014,22:22,7/06/2014,LIFEA,48,52,0,4,2,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222216_550.wav,LIFEA_20140607_222216_550.wav,,PippiT,PippiT,Main,Pip50,9,PippiT,9,2014,6,7,22,22,7/06/2014,22:22,7/06/2014,LIFEA,35,53,66,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222221_446.wav,LIFEA_20140607_222221_446.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,22,7/06/2014,22:22,7/06/2014,LIFEA,41,48,71,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222228_937.wav,LIFEA_20140607_222228_937.wav,,PippiT,PippiT,Main,Pip50,9,PippiT,9,2014,6,7,22,22,7/06/2014,22:22,7/06/2014,LIFEA,34,53,66,5,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222234_418.wav,LIFEA_20140607_222234_418.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,22,7/06/2014,22:22,7/06/2014,LIFEA,26,48,0,5,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222237_437.wav,LIFEA_20140607_222237_437.wav,,PippiT,PippiT,Main,Pip50,7,PippiT,7,2014,6,7,22,22,7/06/2014,22:22,7/06/2014,LIFEA,13,53,42,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222250_475.wav,LIFEA_20140607_222250_475.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,22,7/06/2014,22:22,7/06/2014,LIFEA,24,49,75,5,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222255_965.wav,LIFEA_20140607_222255_965.wav,,PippiT,PippiT,Main,Pip50,9,PippiT,9,2014,6,7,22,22,7/06/2014,22:22,7/06/2014,LIFEA,58,53,70,4,0,4,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222303_102.wav,LIFEA_20140607_222303_102.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,23,7/06/2014,22:23,7/06/2014,LIFEA,27,51,75,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222305_572.wav,LIFEA_20140607_222305_572.wav,,PippiT,PippiT,Main,Pip50,9,PippiT,9,2014,6,7,22,23,7/06/2014,22:23,7/06/2014,LIFEA,35,53,73,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222309_388.wav,LIFEA_20140607_222309_388.wav,,PippiT,PippiT,Main,Pip50,9,PippiT,9,2014,6,7,22,23,7/06/2014,22:23,7/06/2014,LIFEA,28,53,45,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222313_155.wav,LIFEA_20140607_222313_155.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,23,7/06/2014,22:23,7/06/2014,LIFEA,70,52,0,4,1,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222323_632.wav,LIFEA_20140607_222323_632.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,23,7/06/2014,22:23,7/06/2014,LIFEA,39,52,46,5,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222330_802.wav,LIFEA_20140607_222330_802.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,23,7/06/2014,22:23,7/06/2014,LIFEA,74,53,59,4,2,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222335_802.wav,LIFEA_20140607_222335_802.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,23,7/06/2014,22:23,7/06/2014,LIFEA,24,51,62,4,1,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222352_412.wav,LIFEA_20140607_222352_412.wav,,PippiT,PippiT,Main,Pip50,8,PippiT,8,2014,6,7,22,23,7/06/2014,22:23,7/06/2014,LIFEA,33,53,37,4,1,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222358_049.wav,LIFEA_20140607_222358_049.wav,,PippiT,PippiT,Main,Pip50,9,PippiT,9,2014,6,7,22,23,7/06/2014,22:23,7/06/2014,LIFEA,16,52,79,5,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222439_489.wav,LIFEA_20140607_222439_489.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,24,7/06/2014,22:24,7/06/2014,LIFEA,54,49,0,5,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222446_132.wav,LIFEA_20140607_222446_132.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,24,7/06/2014,22:24,7/06/2014,LIFEA,66,51,61,4,1,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222511_057.wav,LIFEA_20140607_222511_057.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,25,7/06/2014,22:25,7/06/2014,LIFEA,47,50,0,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222517_012.wav,LIFEA_20140607_222517_012.wav,,PippiT,PippiT,Main,Pip50,8,PippiT,8,2014,6,7,22,25,7/06/2014,22:25,7/06/2014,LIFEA,37,52,0,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222524_220.wav,LIFEA_20140607_222524_220.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,25,7/06/2014,22:25,7/06/2014,LIFEA,18,48,79,5,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_222544_276.wav,LIFEA_20140607_222544_276.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,25,7/06/2014,22:25,7/06/2014,LIFEA,33,50,73,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
